CMDLINE C:\Python39\python.exe main.py
MEM 88.207031 1671224869.9532
MEM 88.207031 1671224870.0624
MEM 88.207031 1671224870.1741
MEM 88.207031 1671224870.2858
MEM 88.207031 1671224870.3975
MEM 88.207031 1671224870.5092
MEM 88.207031 1671224870.6189
MEM 88.207031 1671224870.7282
MEM 88.207031 1671224870.8399
MEM 88.207031 1671224870.9516
MEM 88.207031 1671224871.0623
MEM 88.207031 1671224871.1730
MEM 88.207031 1671224871.2847
MEM 88.207031 1671224871.3954
MEM 88.207031 1671224871.5061
MEM 88.207031 1671224871.6178
MEM 88.207031 1671224871.7271
MEM 88.207031 1671224871.8388
MEM 88.207031 1671224871.9505
MEM 88.207031 1671224872.0612
MEM 88.207031 1671224872.1704
MEM 88.207031 1671224872.2821
MEM 88.207031 1671224872.3928
MEM 88.207031 1671224872.5045
MEM 88.207031 1671224872.6162
MEM 88.207031 1671224872.7269
MEM 88.207031 1671224872.8386
MEM 88.207031 1671224872.9503
MEM 88.207031 1671224873.0600
MEM 88.207031 1671224873.1717
MEM 88.207031 1671224873.2834
MEM 88.207031 1671224873.3943
MEM 88.207031 1671224873.5060
MEM 88.207031 1671224873.6169
MEM 88.207031 1671224873.7276
MEM 88.207031 1671224873.8393
MEM 88.207031 1671224873.9510
MEM 88.207031 1671224874.0617
MEM 88.207031 1671224874.1734
MEM 88.207031 1671224874.2851
MEM 88.207031 1671224874.3958
MEM 88.207031 1671224874.5059
MEM 88.207031 1671224874.6161
MEM 88.207031 1671224874.7269
MEM 88.207031 1671224874.8386
MEM 88.207031 1671224874.9503
MEM 88.207031 1671224875.0610
MEM 88.207031 1671224875.1711
MEM 88.207031 1671224875.2825
MEM 88.207031 1671224875.3932
MEM 88.207031 1671224875.5049
MEM 88.207031 1671224875.6166
MEM 88.207031 1671224875.7263
MEM 88.207031 1671224875.8381
MEM 88.207031 1671224875.9497
MEM 88.207031 1671224876.0602
MEM 88.207031 1671224876.1704
MEM 88.207031 1671224876.2821
MEM 88.207031 1671224876.3928
MEM 88.207031 1671224876.5045
MEM 88.207031 1671224876.6163
MEM 88.207031 1671224876.7271
MEM 88.207031 1671224876.8388
MEM 88.207031 1671224876.9498
MEM 88.207031 1671224877.0595
MEM 88.207031 1671224877.1702
MEM 88.207031 1671224877.2819
MEM 88.207031 1671224877.3926
MEM 88.207031 1671224877.5043
MEM 88.207031 1671224877.6150
MEM 88.207031 1671224877.7257
MEM 88.207031 1671224877.8371
MEM 88.207031 1671224877.9488
MEM 88.207031 1671224878.0592
MEM 88.207031 1671224878.1708
MEM 88.207031 1671224878.2825
MEM 88.207031 1671224878.3943
MEM 88.207031 1671224878.5059
MEM 88.207031 1671224878.6168
MEM 88.207031 1671224878.7271
MEM 88.207031 1671224878.8388
MEM 88.207031 1671224878.9505
MEM 88.207031 1671224879.0611
MEM 88.207031 1671224879.1729
MEM 88.207031 1671224879.2845
MEM 88.207031 1671224879.3953
MEM 88.207031 1671224879.5069
MEM 88.207031 1671224879.6172
MEM 88.207031 1671224879.7274
