CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 136.011719 1671323179.4107
MEM 136.011719 1671323179.5189
MEM 136.011719 1671323179.6336
MEM 136.011719 1671323179.7403
MEM 136.011719 1671323179.8515
MEM 136.011719 1671323179.9595
MEM 136.011719 1671323180.0694
MEM 136.011719 1671323180.1803
MEM 136.011719 1671323180.2910
MEM 136.011719 1671323180.4027
MEM 136.011719 1671323180.5134
MEM 136.011719 1671323180.6241
MEM 136.011719 1671323180.7348
MEM 136.011719 1671323180.8465
MEM 136.011719 1671323180.9562
MEM 136.011719 1671323181.0659
MEM 136.011719 1671323181.1746
MEM 136.011719 1671323181.2837
MEM 136.011719 1671323181.3944
MEM 136.011719 1671323181.5021
MEM 136.011719 1671323181.6128
MEM 136.011719 1671323181.7225
MEM 136.011719 1671323181.8308
MEM 136.011719 1671323181.9415
MEM 136.011719 1671323182.0482
MEM 136.011719 1671323182.1579
MEM 136.011719 1671323182.2666
MEM 136.011719 1671323182.3783
MEM 136.011719 1671323182.4890
MEM 136.011719 1671323182.5967
MEM 136.011719 1671323182.7064
MEM 136.011719 1671323182.8160
MEM 136.011719 1671323182.9264
MEM 136.011719 1671323183.0343
MEM 136.011719 1671323183.1450
MEM 136.011719 1671323183.2542
MEM 136.011719 1671323183.3639
MEM 136.011719 1671323183.4746
MEM 136.011719 1671323183.5853
MEM 136.011719 1671323183.6950
MEM 136.011719 1671323183.8057
MEM 136.011719 1671323183.9164
MEM 136.011719 1671323184.0281
MEM 136.011719 1671323184.1388
MEM 136.011719 1671323184.2485
MEM 136.011719 1671323184.3592
MEM 136.011719 1671323184.4679
MEM 136.011719 1671323184.5775
MEM 136.011719 1671323184.6882
MEM 136.011719 1671323184.7979
MEM 136.011719 1671323184.9086
MEM 136.011719 1671323185.0193
MEM 136.011719 1671323185.1330
MEM 136.011719 1671323185.2397
MEM 136.011719 1671323185.3484
MEM 136.011719 1671323185.4572
MEM 136.011719 1671323185.5674
MEM 136.011719 1671323185.6781
MEM 136.011719 1671323185.7918
MEM 136.011719 1671323185.8985
MEM 136.011719 1671323186.0075
MEM 136.011719 1671323186.1168
MEM 136.011719 1671323186.2257
MEM 136.011719 1671323186.3374
MEM 136.011719 1671323186.4481
MEM 136.011719 1671323186.5578
MEM 136.011719 1671323186.6675
MEM 136.011719 1671323186.7792
MEM 136.011719 1671323186.8909
MEM 136.011719 1671323187.0016
MEM 136.011719 1671323187.1133
MEM 136.011719 1671323187.2230
MEM 136.011719 1671323187.3348
MEM 136.011719 1671323187.4445
MEM 136.011719 1671323187.5552
MEM 136.011719 1671323187.6664
MEM 136.011719 1671323187.7761
MEM 136.011719 1671323187.8858
MEM 136.011719 1671323187.9955
MEM 136.011719 1671323188.1062
MEM 136.011719 1671323188.2159
MEM 135.957031 1671323188.3256
